Post_Type,Likes,Shares,Comments,Account_Type,Person_Type,Social_Platform,Location,Account_Verification,User_Activity,User_Language,User_Follower,Media_Type
Carousel,1094077,32,139,Public,Travel Blogger,Goodreads,"Sydney, Australia",Verified,3 posts per week,English,3618,video
Reels,1465360,27,80,Public,Fitness Enthusiast,Twitter,"Silicon Valley, USA",Verified,2 posts per week,English,391,video
Reels,399564,51,97,Public,Influencer,Instagram,"London, UK",Not verified,53 post per day,English,5871,video
Carousel,1033796,41,145,Private,User,Facebook,"New York City, USA",Verified,4 posts per week,English,8434,image
Text,1397435,68,125,Public,Entrepreneur,Instagram,"London, UK",Not verified,3 posts per week,English,9907,image
Video,1354683,54,56,Public,Social Activist,Twitter,"Sydney, Australia",Not verified,4 posts per week,English,6165,image
Static Image,94364,40,159,Public,Tech Reviewer,Facebook,"Paris, France",Not verified,2 posts per week,English,6539,image
Reels,269309,45,94,Public,Food Blogger,Instagram,"Barcelona, Spain",Verified,3 posts per week,English,5811,text
Reels,803918,69,138,Public,Influencer,Twitter,"Tokyo, Japan",Not verified,2 posts per week,English,368,video
Static Image,2197753,40,83,Public,Brand Ambassador,Facebook,"Los Angeles, USA",Not verified,3 posts per week,English,9751,video
Static Image,3827082,36,140,Public,Travel Blogger,Twitter,"Sydney, Australia",Not verified,2 posts per week,English,7424,video
Carousel,372436,48,73,Private,Food Blogger,Instagram,"London, UK",Not verified,53 post per day,English,9908,video
Static Image,1393786,19,85,Public,Food Blogger,Facebook,"San Francisco, USA",Not verified,152 posts per week,English,2825,video
Video,4160231,55,138,Public,Social Activist,Instagram,"Paris, France",Not verified,153 posts per week,English,9151,text
Reels,3400869,22,71,Public,Food Blogger,Twitter,"New York City, USA",Not verified,154 posts per week,English,4549,video
Carousel,2303519,44,130,Public,Food Blogger,Spotify,"Los Angeles, USA",Not verified,53 post per day,English,408,image
Video,1771013,61,83,Private,Brand Ambassador,Instagram,"Barcelona, Spain",Not verified,107 posts per week,English,3347,video
Carousel,3877552,38,108,Public,Travel Blogger,Instagram,"Silicon Valley, USA",Verified,108 posts per week,English,6385,video
Reels,3354740,45,54,Public,User,Twitter,Yosemite National Park,Verified,3 posts per week,English,6504,image
Carousel,11778,36,122,Private,Fitness Enthusiast,YouTube,"Bangkok, Thailand",Not verified,5 posts per week,English,2728,text
Reels,1383108,38,123,Private,Food Blogger,Instagram,"Bali, Indonesia",Not verified,2 posts per week,English,162,video
Video,274735,54,123,Public,Content Creator,Twitch,"Los Angeles, USA",Verified,4 posts per week,English,8050,image
Static Image,3149138,38,94,Public,Brand Ambassador,Instagram,"Paris, France",Not verified,3 posts per week,English,4499,image
Carousel,2633113,40,160,Public,Social Activist,Twitter,"Bali, Indonesia",Not verified,2 posts per week,English,506,image
Video,464983,23,108,Public,Fitness Enthusiast,Facebook,"San Francisco, USA",Not verified,54 post per day,English,7190,image
Video,3419437,46,131,Public,Food Blogger,Instagram,"New York City, USA",Verified,2 posts per week,English,3939,image
Video,1034822,24,66,Private,Influencer,Twitter,"London, UK",Not verified,4 posts per week,English,4415,text
Carousel,1800858,57,114,Public,Travel Blogger,Goodreads,"Paris, France",Verified,3 posts per week,English,2241,video
Reels,4062099,28,55,Private,Food Blogger,Instagram,"New York City, USA",Not verified,2 posts per week,English,1419,image
Text,350441,31,109,Public,Brand Ambassador,Spotify,"Los Angeles, USA",Not verified,54 post per day,English,2781,text
Video,1113422,42,76,Public,Social Activist,Instagram,"San Francisco, USA",Verified,3 posts per week,English,8464,text
Carousel,3110538,37,122,Public,Travel Blogger,Twitter,"Vancouver, Canada",Not verified,2 posts per week,English,7553,image
Carousel,2379883,58,79,Private,Influencer,Facebook,"San Jose, USA",Verified,3 posts per week,English,2573,video
Reels,1566589,57,124,Public,Brand Ambassador,Instagram,"Los Angeles, USA",Not verified,54 post per week,English,5383,video
Text,994764,40,101,Private,Entrepreneur,Twitter,"New York City, USA",Verified,4 posts per week,English,5379,video
Static Image,2778743,37,49,Public,Content Creator,Facebook,"Seattle, USA",Not verified,2 posts per week,English,6179,text
Reels,1803320,32,64,Private,Fitness Enthusiast,Instagram,"Rome, Italy",Not verified,2 posts per week,English,4308,video
Carousel,1257826,26,115,Public,Tech Reviewer,Twitch,"Tokyo, Japan",Not verified,3 posts per week,English,3939,text
Static Image,1210054,18,53,Private,Food Blogger,YouTube,"Los Angeles, USA",Not verified,4 posts per week,English,2433,text
Video,2468547,26,153,Public,Content Creator,Goodreads,"Sydney, Australia",Verified,3 posts per week,English,9521,text
Reels,2997106,35,104,Private,Fitness Enthusiast,Twitter,"Silicon Valley, USA",Verified,2 posts per week,English,7481,text
Video,2196898,47,58,Public,Content Creator,Instagram,"London, UK",Not verified,54 post per day,English,9117,image
Text,1090460,25,93,Public,Travel Blogger,Facebook,"New York City, USA",Verified,4 posts per week,English,3659,image
Carousel,2422166,13,118,Private,Travel Blogger,Instagram,"London, UK",Not verified,3 posts per week,English,6575,image
Static Image,537323,65,81,Public,Tech Reviewer,Twitter,"Sydney, Australia",Not verified,4 posts per week,English,9037,text
Reels,1196722,22,131,Public,Gamer,Facebook,"Paris, France",Not verified,2 posts per week,English,8257,image
Video,231091,18,94,Public,Gamer,Instagram,"Barcelona, Spain",Verified,3 posts per week,English,7686,text
Static Image,1931603,37,139,Private,Travel Blogger,Twitter,"Tokyo, Japan",Not verified,2 posts per week,English,327,text
Static Image,305444,45,112,Public,Travel Blogger,Facebook,"Los Angeles, USA",Not verified,3 posts per week,English,2360,text
Video,549799,67,100,Private,Travel Blogger,Twitter,"Sydney, Australia",Not verified,2 posts per week,English,1185,video
Reels,1916541,58,104,Public,Brand Ambassador,Instagram,"London, UK",Not verified,54 post per day,English,3505,text
Text,297017,72,101,Public,Food Blogger,Facebook,"San Francisco, USA",Not verified,155 posts per week,English,6631,video
Static Image,33287,67,92,Public,Social Activist,Instagram,"Paris, France",Not verified,156 posts per week,English,7885,text
Carousel,2072624,30,126,Public,Content Creator,Twitter,"New York City, USA",Not verified,157 posts per week,English,3521,image
Static Image,900979,40,93,Public,Brand Ambassador,Spotify,"Los Angeles, USA",Not verified,54 post per day,English,491,text
Video,440883,38,147,Public,Tech Reviewer,Instagram,"Barcelona, Spain",Not verified,109 posts per week,English,7848,video
Reels,562952,37,132,Public,Tech Reviewer,Instagram,"Silicon Valley, USA",Verified,110 posts per week,English,9998,text
Video,197118,26,118,Public,Influencer,Twitter,Yosemite National Park,Verified,3 posts per week,English,8604,image
Text,2458469,58,103,Public,Social Activist,YouTube,"Bangkok, Thailand",Not verified,5 posts per week,English,6882,text
Reels,89901,63,124,Public,User,Instagram,"Bali, Indonesia",Not verified,2 posts per week,English,7017,image
Text,461425,57,94,Public,Brand Ambassador,Twitch,"Los Angeles, USA",Verified,4 posts per week,English,2206,text
Carousel,503572,43,61,Private,Brand Ambassador,Instagram,"Paris, France",Not verified,3 posts per week,English,5676,video
Carousel,880776,22,59,Public,Gamer,Twitter,"Bali, Indonesia",Not verified,2 posts per week,English,1732,video
Carousel,1979378,22,103,Private,Food Blogger,Facebook,"San Francisco, USA",Not verified,55 post per day,English,5464,video
Video,2698074,62,53,Public,Food Blogger,Instagram,"New York City, USA",Verified,2 posts per week,English,1973,video
Static Image,2328696,56,133,Private,User,Twitter,"London, UK",Not verified,4 posts per week,English,5784,image
Carousel,41268,31,115,Public,Content Creator,Goodreads,"Paris, France",Verified,3 posts per week,English,7182,image
Reels,2690311,44,53,Private,Social Activist,Instagram,"New York City, USA",Not verified,2 posts per week,English,7138,video
Static Image,3862376,46,91,Private,Entrepreneur,Spotify,"Los Angeles, USA",Not verified,55 post per day,English,324,text
Carousel,181592,44,131,Public,Brand Ambassador,Instagram,"San Francisco, USA",Verified,3 posts per week,English,1752,image
Video,4127930,47,115,Public,Social Activist,Twitter,"Vancouver, Canada",Not verified,2 posts per week,English,3464,video
Video,1408869,34,129,Public,Gamer,Facebook,"San Jose, USA",Verified,3 posts per week,English,7391,image
Static Image,2645157,54,69,Public,Tech Reviewer,Instagram,"Los Angeles, USA",Not verified,55 post per week,English,9554,video
Text,456431,55,81,Private,User,Twitter,"New York City, USA",Verified,4 posts per week,English,3826,text
Reels,766914,62,70,Public,Social Activist,Facebook,"Seattle, USA",Not verified,2 posts per week,English,8812,image
Text,2832093,68,136,Private,Travel Blogger,Instagram,"Rome, Italy",Not verified,2 posts per week,English,4094,image
Static Image,1742000,30,94,Public,Brand Ambassador,Twitch,"Tokyo, Japan",Not verified,3 posts per week,English,1072,text
Static Image,4532421,48,134,Public,Gamer,YouTube,"Los Angeles, USA",Not verified,4 posts per week,English,7565,image
Carousel,3663004,21,71,Private,Social Activist,Goodreads,"Sydney, Australia",Verified,3 posts per week,English,7377,video
Video,991608,25,144,Public,Fitness Enthusiast,Twitter,"Silicon Valley, USA",Verified,2 posts per week,English,7360,text
Reels,3199683,46,100,Public,Travel Blogger,Instagram,"London, UK",Not verified,55 post per day,English,5295,video
Carousel,4525112,29,116,Private,Influencer,Facebook,"New York City, USA",Verified,4 posts per week,English,4914,image
Carousel,39920,21,102,Public,Social Activist,Instagram,"London, UK",Not verified,3 posts per week,English,1242,image
Static Image,1847795,51,59,Public,Food Blogger,Twitter,"Sydney, Australia",Not verified,4 posts per week,English,3977,text
Static Image,533532,40,106,Private,Brand Ambassador,Facebook,"Paris, France",Not verified,2 posts per week,English,8630,text
Video,431031,63,114,Private,Fitness Enthusiast,Instagram,"Barcelona, Spain",Verified,3 posts per week,English,9623,text
Video,1508206,51,84,Public,Food Blogger,Twitter,"Tokyo, Japan",Not verified,2 posts per week,English,6458,image
Carousel,2039208,35,129,Public,Entrepreneur,Facebook,"Los Angeles, USA",Not verified,3 posts per week,English,4069,text
Video,2180525,34,101,Public,User,Twitter,"Sydney, Australia",Not verified,2 posts per week,English,3071,image
Carousel,2003620,59,105,Public,Social Activist,Instagram,"London, UK",Not verified,55 post per day,English,92,text
Video,3496693,19,101,Public,Food Blogger,Facebook,"San Francisco, USA",Not verified,158 posts per week,English,5886,video
Video,4504763,64,69,Public,Brand Ambassador,Instagram,"Paris, France",Not verified,159 posts per week,English,6081,text
Static Image,1597275,26,153,Public,Food Blogger,Twitter,"New York City, USA",Not verified,160 posts per week,English,4410,video
Video,142971,50,109,Public,Content Creator,Spotify,"Los Angeles, USA",Not verified,55 post per day,English,834,text
Reels,948982,33,80,Private,Social Activist,Instagram,"Barcelona, Spain",Not verified,111 posts per week,English,8736,image
Reels,1689108,66,112,Public,Tech Reviewer,Instagram,"Silicon Valley, USA",Verified,112 posts per week,English,3395,text
Video,519803,38,60,Public,Influencer,Twitter,Yosemite National Park,Verified,3 posts per week,English,9963,video
Reels,2737923,47,100,Public,Social Activist,YouTube,"Bangkok, Thailand",Not verified,5 posts per week,English,9349,text
Reels,1763419,44,70,Public,Food Blogger,Instagram,"Bali, Indonesia",Not verified,2 posts per week,English,4008,image
Reels,3072668,31,109,Public,Gamer,Twitch,"Los Angeles, USA",Verified,4 posts per week,English,9676,video
Video,1708313,46,105,Public,Entrepreneur,Instagram,"Paris, France",Not verified,3 posts per week,English,6598,text
Reels,117478,12,70,Public,Entrepreneur,Twitter,"Bali, Indonesia",Not verified,2 posts per week,English,3441,text
Carousel,2169763,24,95,Public,Influencer,Facebook,"San Francisco, USA",Not verified,56 post per day,English,9652,text
Video,882410,46,131,Public,Content Creator,Instagram,"New York City, USA",Verified,2 posts per week,English,6134,video
Video,2763269,45,92,Public,Food Blogger,Twitter,"London, UK",Not verified,4 posts per week,English,8125,video
Carousel,3132440,52,137,Public,Social Activist,Goodreads,"Paris, France",Verified,3 posts per week,English,2366,image
Carousel,3872630,51,77,Public,Entrepreneur,Instagram,"New York City, USA",Not verified,2 posts per week,English,9238,video
Carousel,1107682,37,125,Public,Tech Reviewer,Spotify,"Los Angeles, USA",Not verified,56 post per day,English,6794,image
Reels,2614087,20,77,Public,Gamer,Instagram,"San Francisco, USA",Verified,3 posts per week,English,2002,text
Reels,306392,55,117,Public,Food Blogger,Twitter,"Vancouver, Canada",Not verified,2 posts per week,English,1391,image
Video,2451482,34,66,Public,Entrepreneur,Facebook,"San Jose, USA",Verified,3 posts per week,English,9401,video
Static Image,1064107,64,156,Public,User,Instagram,"Los Angeles, USA",Not verified,56 post per week,English,9155,video
Static Image,2996105,37,65,Public,Tech Reviewer,Twitter,"New York City, USA",Verified,4 posts per week,English,5679,text
Reels,333027,76,53,Private,Influencer,Facebook,"Seattle, USA",Not verified,2 posts per week,English,5807,image
Video,1753402,59,75,Public,Content Creator,Instagram,"Rome, Italy",Not verified,2 posts per week,English,6369,video
Reels,3843766,52,74,Public,Social Activist,Twitch,"Tokyo, Japan",Not verified,3 posts per week,English,5642,text
Text,4416258,33,85,Public,Social Activist,YouTube,"Los Angeles, USA",Not verified,4 posts per week,English,7193,text
Static Image,2468200,69,54,Public,Influencer,Goodreads,"Sydney, Australia",Verified,3 posts per week,English,5083,text
Carousel,2382194,54,73,Private,Content Creator,Twitter,"Silicon Valley, USA",Verified,2 posts per week,English,1857,text
Static Image,1880586,58,141,Private,User,Instagram,"London, UK",Not verified,56 post per day,English,4160,text
Reels,1298773,52,92,Public,Influencer,Facebook,"New York City, USA",Verified,4 posts per week,English,1695,text
Static Image,899497,33,101,Public,Food Blogger,Instagram,"London, UK",Not verified,3 posts per week,English,3936,text
Carousel,210826,59,59,Private,Food Blogger,Twitter,"Sydney, Australia",Not verified,4 posts per week,English,2006,video
Carousel,1011680,61,70,Public,Travel Blogger,Facebook,"Paris, France",Not verified,2 posts per week,English,9984,image
Video,1377146,38,71,Public,Gamer,Instagram,"Barcelona, Spain",Verified,3 posts per week,English,574,text
Carousel,565699,29,99,Public,Travel Blogger,Twitter,"Tokyo, Japan",Not verified,2 posts per week,English,9817,image
Video,1852009,24,116,Public,Food Blogger,Facebook,"Los Angeles, USA",Not verified,3 posts per week,English,7939,image
